network,state,site_name,description,start,end,latitude,longitude,elev,county,site_id
SNTL,ID,sunset ,Canyon Creek-Upper South Fork Coeur d'Alene River (170103020102),1978-10-01,2023-05-07,47.56,-115.82,1689,Shoshone,803
SNTL,ID,swede peak ,Upper Muldoon Creek (170402210301),1978-10-01,2023-05-07,43.63,-113.97,2329,Blaine,805
SNTL,ID,trinity mtn. ,Roaring River (170501110703),1978-10-01,2023-05-07,43.63,-115.44,2368,Elmore,830
SNTL,ID,vienna mine ,Smiley Creek (170602010201),1978-10-01,2023-05-07,43.8,-114.85,2731,Blaine,845
SNTL,MT,copper bottom ,Copper Creek (170102030103),1978-10-01,2023-05-07,47.06,-112.6,1585,Lewis And Clark,413
SNTL,MT,copper camp ,Copper Creek (170102030103),1978-10-01,2023-05-07,47.08,-112.73,2118,Lewis And Clark,414
SNTL,MT,s fork shields ,Bennett Creek-Shields River (100700030301),1978-10-01,2023-05-07,46.09,-110.43,2469,Park,725
SNTL,MT,wood creek ,Wood Creek (100301040202),1978-10-01,2023-05-07,47.45,-112.81,1817,Lewis And Clark,876
SNTL,NM,bateman ,Montoya Canyon-Canjilon Creek (130201020901),1978-10-01,2023-05-07,36.51,-106.32,2819,Rio Arriba,316
SNTL,NM,chamita ,Rio Chamita (130201020204),1978-10-01,2023-05-07,36.96,-106.66,2555,Rio Arriba,394
SNTL,NM,hopewell ,Jarosa Creek-Rio Vallecitos (130201021401),1978-10-01,2023-05-07,36.72,-106.26,3077,Rio Arriba,532
SNTL,NM,lookout mountain ,Taylor Creek (150400010402),1978-10-01,2023-05-07,33.36,-107.83,2594,Sierra,595
SNTL,NM,north costilla ,Casias Creek-Costillo Creek (130201010101),1978-10-01,2023-05-07,36.99,-105.26,3230,Taos,665
SNTL,NM,red river pass #2 ,Upper Red River (130201010301),1978-10-01,2023-05-07,36.7,-105.34,3004,Taos,715
SNTL,NM,signal peak ,Lake Roberts-Sapillo Creek (150400010803),1978-10-01,2023-05-07,32.92,-108.15,2562,Grant,755
SNTL,NM,silver creek divide ,Mineral Creek (150400040605),1978-10-01,2023-05-07,33.37,-108.71,2772,Catron,757
SNTL,NV,big bend ,Martin Creek (170501040104),1978-10-01,2023-05-07,41.76,-115.69,2103,Elko,336
SNTL,NV,corral canyon ,Corral Creek (160401030401),1978-10-01,2023-05-07,40.28,-115.54,2574,Elko,417
SNTL,NV,dorsey basin ,Lower Secret Creek (160401010604),1978-10-01,2023-05-07,40.89,-115.21,2409,Elko,453
SNTL,NV,jack creek upper ,Upper Harrington Creek (170501050201),1978-10-01,2023-05-07,41.55,-116.01,2249,Elko,548
SNTL,NV,marlette lake ,Sand Harbor-Frontal Lake Tahoe (160501010201),1978-10-01,2023-05-07,39.16,-119.9,2403,Carson City,615
SNTL,NV,seventysix creek ,Annie Creek-Bruneau River (170501020108),1978-10-01,2023-05-07,41.74,-115.47,2240,Elko,746
SNTL,OR,arbuckle mtn ,Upper Fivemile Creek (170702020604),1978-10-01,2023-05-07,45.19,-119.25,1759,Morrow,304
SNTL,OR,billie creek divide ,Seldom Creek (180102030201),1978-10-01,2023-05-07,42.41,-122.27,1609,Klamath,344
SNTL,OR,blue mountain spring ,Summit Creek (170501160104),1978-10-01,2023-05-07,44.25,-118.52,1789,Grant,357
SNTL,OR,bourne ,Cracker Creek (170502030101),1978-10-01,2023-05-07,44.83,-118.19,1783,Baker,361
SNTL,OR,bowman springs ,Johnson Creek (170701030401),1978-10-01,2023-05-07,45.36,-118.47,1381,Umatilla,362
SNTL,OR,daly lake ,Pyramid Creek (170900060101),1978-10-01,2023-05-07,44.52,-122.09,1125,Linn,434
SNTL,OR,fish creek ,Fish Creek (171200030107),1978-10-01,2023-05-07,42.71,-118.63,2335,Harney,477
SNTL,OR,fourmile lake ,Upper Fourmile Creek (180102030202),1978-10-01,2023-05-07,42.44,-122.23,1820,Klamath,483
SNTL,OR,greenpoint ,Lower West Fork Hood River (170701050603),1978-10-01,2023-05-07,45.62,-121.7,1009,Hood River,504
SNTL,OR,high ridge ,Buck Creek-South Fork Umatilla River (170701030103),1978-10-01,2023-05-07,45.7,-118.11,1500,Umatilla,523
